Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,50.0,50.0,50.0,50.0
150.0,50.0,50.0,50.0,50.0
300.0,50.0,50.0,50.0,50.0
450.0,50.0,50.0,50.0,50.0
600.0,50.0,50.0,50.0,50.0
750.0,50.0,50.0,50.0,50.0
900.0,50.0,50.0,50.0,50.0
1050.0,50.0,50.0,50.0,50.0
1200.0,50.0,50.0,50.0,50.0
1350.0,50.0,50.0,50.0,50.0
1500.0,50.0,56.168,51.14,56.172222222222224
1650.0,50.001,59.171,51.958,59.175555555555555
1800.0,50.008,62.174,52.837,62.17888888888889
1950.0,50.034,64.265,53.631,64.27
2100.0,50.092,65.9,54.334,65.905
2250.0,50.189,67.535,55.036,67.53999999999999
2400.0,50.329,69.044,55.728,69.04899999999999
2550.0,50.512,70.3,56.378,70.306
2700.0,50.734,71.557,57.026,71.56299999999999
2850.0,50.992,72.814,57.679,72.82
3000.0,51.282,73.873,58.305,73.87899999999999
3150.0,51.601,74.932,58.929,74.93799999999999
3300.0,51.947,75.991,59.556,75.997
3450.0,52.316,76.937,60.171,76.943
3600.0,52.705,77.826,60.774,77.8325
3750.0,53.113,78.716,61.377,78.722
3900.0,53.538,79.605,61.984,79.61149999999999
4050.0,53.978,80.495,62.594,80.501
4200.0,54.431,81.384,63.208,81.3905
4350.0,54.895,82.273,63.827,82.28
4500.0,55.371,83.022,64.427,83.0285
4650.0,55.857,83.77,65.025,83.777
4800.0,56.352,84.519,65.622,84.5255
4950.0,56.856,85.267,66.221,85.274
5100.0,57.367,86.016,66.822,86.0225
5250.0,57.886,86.764,67.426,86.771
5400.0,58.41,87.483,68.028,87.49
5550.0,58.941,88.143,68.619,88.14999999999999
5700.0,59.477,88.803,69.209,88.81
5850.0,60.017,89.463,69.799,89.47
6000.0,60.562,90.123,70.39,90.13
6150.0,61.111,90.783,70.982,90.79
6300.0,61.663,91.443,71.574,91.45
6450.0,62.219,92.061,72.161,92.068
6600.0,62.777,92.658,72.743,92.665
6750.0,63.337,93.255,73.323,93.262
6900.0,63.9,93.852,73.903,93.85900000000001
7050.0,64.465,94.449,74.482,94.456
7200.0,65.031,95.046,75.062,95.05300000000001
7350.0,65.599,95.643,75.641,95.65
7500.0,66.168,96.191,76.213,96.1975
7650.0,66.737,96.738,76.782,96.745
7800.0,67.308,97.286,77.349,97.2925
7950.0,67.879,97.833,77.915,97.84
8100.0,68.45,98.381,78.481,98.3875
8250.0,69.022,98.928,79.046,98.935
8400.0,69.593,99.468,79.609,99.475
8550.0,70.164,99.993,80.169,100.0
8700.0,70.735,97.941,80.284,97.94500000000001
8850.0,71.306,96.002,80.274,96.006
9000.0,71.874,94.122,80.194,94.125
9150.0,72.432,92.242,80.053,92.244
9300.0,72.974,90.361,79.859,90.363
9450.0,73.489,88.481,79.619,88.482
9600.0,73.973,86.6,79.336,86.601
9750.0,74.42,84.72,79.014,84.72
9900.0,74.827,83.129,78.705,83.1285
10050.0,75.192,81.538,78.377,81.537
10200.0,75.515,79.947,78.026,79.9455
10350.0,75.795,78.356,77.649,78.354
10500.0,76.035,76.765,77.249,76.7625
10650.0,76.233,75.174,76.823,75.17099999999999
10800.0,76.393,73.679,76.387,73.676
10950.0,76.515,72.377,75.971,72.374
11100.0,76.6,71.076,75.543,71.072
11250.0,76.649,69.774,75.101,69.77000000000001
11400.0,76.665,68.472,74.644,68.468
11550.0,76.649,67.171,74.17,67.16600000000001
11700.0,76.602,65.869,73.68,65.864
11850.0,76.527,64.76,73.205,64.75500000000001
12000.0,76.424,63.748,72.744,63.74250000000001
12150.0,76.294,62.735,72.278,62.730000000000004
12300.0,76.14,61.723,71.805,61.7175
12450.0,75.962,60.711,71.322,60.705
12600.0,75.763,59.699,70.83,59.6925
12750.0,75.544,58.686,70.328,58.68
12900.0,75.305,57.963,69.866,57.957
13050.0,75.049,57.24,69.409,57.234
13200.0,74.776,56.517,68.953,56.511
13350.0,74.488,55.794,68.494,55.788
13500.0,74.185,55.071,68.032,55.065
13650.0,73.87,54.349,67.565,54.342
13800.0,73.544,53.697,67.105,53.691
13950.0,73.208,53.19,66.672,53.184
14100.0,72.862,52.683,66.243,52.677
14250.0,72.508,52.176,65.817,52.17
14400.0,72.146,51.816,65.416,51.81
14550.0,71.777,51.456,65.023,51.45
14700.0,71.403,51.096,64.635,51.089999999999996
14850.0,71.025,50.83,64.264,50.824
15000.0,70.645,50.611,63.91,50.605000000000004
15150.0,70.262,50.392,63.563,50.386
15300.0,69.878,50.219,63.228,50.21333333333334
15450.0,69.494,50.139,62.918,50.13333333333333
15600.0,69.111,50.059,62.617,50.053333333333335
15750.0,68.73,50.005,62.328,50.0
