Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,444.0,444.0,444.0,444.0
150.0,441.36,444.0,443.64,441.0833333333333
300.0,438.47,443.97,443.03,438.1666666666667
450.0,435.52,443.87,442.26,435.25
600.0,432.55,443.65,441.37,432.3333333333333
750.0,429.55,443.31,440.37,429.4166666666667
900.0,426.53,442.84,439.26,426.5
1050.0,423.5,442.26,438.06,423.5833333333333
1200.0,420.45,441.55,436.76,420.6666666666667
1350.0,417.38,440.73,435.38,417.75
1500.0,414.3,439.81,433.91,414.8333333333333
1650.0,411.21,438.77,432.35,411.9166666666667
1800.0,408.1,437.64,430.73,409.0
1950.0,404.98,436.42,429.02,406.0833333333333
2100.0,401.85,435.1,427.25,403.1666666666667
2250.0,398.7,433.69,425.4,400.25
2400.0,395.55,432.2,423.49,397.3333333333333
2550.0,392.38,430.63,421.52,394.4166666666667
2700.0,389.21,428.99,419.49,391.5
2850.0,386.02,427.26,417.4,388.5833333333333
3000.0,382.83,425.47,415.25,385.6666666666667
3150.0,379.63,423.61,413.05,382.75
3300.0,376.42,421.69,410.8,379.8333333333333
3450.0,373.2,419.7,408.5,376.9166666666667
3600.0,369.97,417.65,406.16,374.0
3750.0,366.73,415.55,403.77,371.0833333333333
3900.0,363.49,413.39,401.34,368.1666666666667
4050.0,360.24,411.18,398.87,365.25
4200.0,356.99,408.92,396.35,362.3333333333333
4350.0,353.72,406.61,393.8,359.4166666666667
4500.0,350.46,404.25,391.22,356.5
4650.0,347.18,401.85,388.6,353.5833333333333
4800.0,343.9,399.41,385.94,350.6666666666667
4950.0,340.62,396.93,383.26,347.75
5100.0,337.33,394.41,380.54,344.8333333333333
5250.0,334.03,391.85,377.8,341.9166666666667
5400.0,330.73,389.26,375.03,339.0
5550.0,327.43,386.63,372.23,336.0833333333333
5700.0,324.12,383.97,369.41,333.1666666666667
5850.0,320.81,381.27,366.56,330.25
6000.0,317.49,378.55,363.69,327.3333333333333
6150.0,314.17,375.8,360.79,324.4166666666667
6300.0,310.85,373.02,357.87,321.5
6450.0,307.52,370.22,354.94,318.5833333333333
6600.0,304.19,367.39,351.98,315.66666666666663
6750.0,300.86,364.53,349.01,312.75
6900.0,297.52,361.66,346.01,309.83333333333337
7050.0,294.18,358.76,343.0,306.91666666666663
7200.0,290.84,355.84,339.98,304.0
7350.0,287.49,352.89,336.93,301.08333333333337
7500.0,284.15,349.93,333.87,298.16666666666663
7650.0,280.8,346.95,330.8,295.25
7800.0,277.44,343.96,327.71,292.33333333333337
7950.0,274.09,340.94,324.61,289.41666666666663
8100.0,270.73,337.91,321.5,286.5
8250.0,267.37,334.86,318.37,283.58333333333337
8400.0,264.01,331.8,315.24,280.66666666666663
8550.0,260.65,328.72,312.09,277.75
8700.0,257.28,325.63,308.93,274.83333333333337
8850.0,253.92,322.53,305.76,271.91666666666663
9000.0,250.55,319.41,302.58,269.0
9150.0,247.18,316.29,299.39,266.08333333333337
9300.0,243.81,313.15,296.19,263.16666666666663
9450.0,240.44,309.99,292.98,260.25
9600.0,237.06,306.83,289.77,257.33333333333337
9750.0,233.69,303.66,286.54,254.41666666666666
9900.0,230.31,300.48,283.31,251.5
10050.0,226.93,297.29,280.07,248.58333333333334
10200.0,223.55,294.09,276.83,245.66666666666666
10350.0,220.17,290.88,273.58,242.75
10500.0,216.79,287.66,270.32,239.83333333333334
10650.0,213.41,284.43,267.05,236.91666666666666
10800.0,210.02,281.2,263.78,234.0
10950.0,206.64,277.96,260.5,231.08333333333334
11100.0,203.25,274.71,257.22,228.16666666666666
11250.0,199.87,271.46,253.94,225.25
11400.0,196.48,268.2,250.64,222.33333333333334
11550.0,193.09,264.93,247.35,219.41666666666666
11700.0,189.7,261.66,244.04,216.5
11850.0,186.32,258.38,240.74,213.58333333333334
12000.0,182.93,255.1,237.43,210.66666666666666
12150.0,179.53,251.81,234.11,207.75
12300.0,176.14,248.52,230.79,204.83333333333334
12450.0,172.75,245.22,227.47,201.91666666666666
12600.0,169.36,241.91,224.15,199.0
12750.0,165.96,238.61,220.82,196.08333333333334
12900.0,162.57,235.3,217.49,193.16666666666666
13050.0,159.18,231.98,214.15,190.25
13200.0,155.78,228.66,210.81,187.33333333333331
13350.0,152.39,225.34,207.47,184.41666666666669
13500.0,148.99,222.01,204.13,181.5
13650.0,145.59,218.68,200.78,178.58333333333331
13800.0,142.2,215.35,197.43,175.66666666666669
13950.0,138.8,212.01,194.08,172.75
14100.0,135.4,208.68,190.73,169.83333333333331
14250.0,132.01,205.33,187.37,166.91666666666669
14400.0,128.61,201.99,184.01,164.0
