Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,250.0,250.0,250.0,250.0
150.0,250.0,250.8,250.08,250.83333333333334
300.0,250.0,251.62,250.21,251.66666666666666
450.0,250.0,252.44,250.36,252.5
600.0,250.0,253.27,250.53,253.33333333333334
750.0,250.0,254.09,250.72,254.16666666666666
900.0,250.01,254.92,250.93,255.0
1050.0,250.03,255.74,251.15,255.83333333333334
1200.0,250.05,256.57,251.38,256.6666666666667
1350.0,250.08,257.39,251.62,257.5
1500.0,250.12,258.22,251.88,258.3333333333333
1650.0,250.17,259.05,252.15,259.1666666666667
1800.0,250.23,259.87,252.42,260.0
1950.0,250.3,259.9,252.63,260.0
2100.0,250.38,259.91,252.8,260.0
2250.0,250.48,259.91,252.96,260.0
2400.0,250.58,259.91,253.1,260.0
2550.0,250.7,259.92,253.23,260.0
2700.0,250.82,259.92,253.36,260.0
2850.0,250.95,259.92,253.48,260.0
3000.0,251.08,259.92,253.59,260.0
3150.0,251.21,259.92,253.71,260.0
3300.0,251.35,259.93,253.82,260.0
3450.0,251.48,259.93,253.92,260.0
3600.0,251.62,259.93,254.03,260.0
3750.0,251.75,259.93,254.13,260.0
3900.0,251.88,259.93,254.23,260.0
4050.0,252.02,259.93,254.32,260.0
4200.0,252.15,259.93,254.42,260.0
4350.0,252.28,259.94,254.51,260.0
4500.0,252.4,259.94,254.6,260.0
4650.0,252.53,259.94,254.69,260.0
4800.0,252.65,259.94,254.78,260.0
4950.0,252.77,259.94,254.87,260.0
5100.0,252.89,259.94,254.96,260.0
5250.0,253.01,259.94,255.04,260.0
5400.0,253.13,259.94,255.12,260.0
5550.0,253.24,259.94,255.2,260.0
5700.0,253.35,259.94,255.28,260.0
5850.0,253.46,259.95,255.36,260.0
6000.0,253.57,259.95,255.44,260.0
6150.0,253.68,259.95,255.52,260.0
6300.0,253.78,259.95,255.59,260.0
6450.0,253.89,259.95,255.66,260.0
6600.0,253.99,259.95,255.74,260.0
6750.0,254.09,259.95,255.81,260.0
6900.0,254.19,259.95,255.88,260.0
7050.0,254.29,259.95,255.95,260.0
7200.0,254.38,259.95,256.01,260.0
7350.0,254.47,259.15,256.0,259.1666666666667
7500.0,254.57,258.33,255.94,258.3333333333333
7650.0,254.66,257.51,255.85,257.5
7800.0,254.74,256.69,255.74,256.6666666666667
7950.0,254.83,255.86,255.61,255.83333333333334
8100.0,254.91,255.04,255.47,255.0
8250.0,254.98,254.22,255.31,254.16666666666666
8400.0,255.04,253.39,255.13,253.33333333333334
8550.0,255.09,252.57,254.95,252.5
8700.0,255.13,251.74,254.75,251.66666666666666
8850.0,255.16,250.91,254.54,250.83333333333334
9000.0,255.18,250.09,254.32,250.0
9150.0,255.18,250.06,254.16,250.0
9300.0,255.17,250.06,254.05,250.0
9450.0,255.15,250.05,253.95,250.0
9600.0,255.12,250.05,253.85,250.0
9750.0,255.08,250.05,253.77,250.0
9900.0,255.03,250.05,253.7,250.0
10050.0,254.97,250.05,253.62,250.0
10200.0,254.91,250.04,253.56,250.0
10350.0,254.84,250.04,253.49,250.0
10500.0,254.77,250.04,253.43,250.0
10650.0,254.7,250.04,253.37,250.0
10800.0,254.63,250.04,253.31,250.0
10950.0,254.56,250.04,253.25,250.0
11100.0,254.48,250.04,253.2,250.0
11250.0,254.41,250.04,253.14,250.0
11400.0,254.34,250.04,253.09,250.0
11550.0,254.27,250.04,253.04,250.0
11700.0,254.2,250.04,252.99,250.0
11850.0,254.13,250.03,252.94,250.0
12000.0,254.06,250.03,252.89,250.0
12150.0,254.0,250.03,252.84,250.0
12300.0,253.93,250.03,252.79,250.0
12450.0,253.87,250.03,252.74,250.0
12600.0,253.8,250.03,252.7,250.0
12750.0,253.74,250.03,252.65,250.0
12900.0,253.68,250.03,252.61,250.0
13050.0,253.62,250.03,252.57,250.0
13200.0,253.56,250.03,252.52,250.0
13350.0,253.5,250.03,252.48,250.0
13500.0,253.44,250.03,252.44,250.0
13650.0,253.38,250.03,252.4,250.0
13800.0,253.32,250.03,252.36,250.0
13950.0,253.27,250.03,252.32,250.0
14100.0,253.21,250.03,252.28,250.0
14250.0,253.16,250.03,252.24,250.0
14400.0,253.11,250.03,252.21,250.0
