Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,200.5,200.5,200.5,200.5
150.0,200.5,200.5,200.5,200.5
300.0,200.5,200.5,200.5,200.5
450.0,200.5,200.5,200.5,200.5
600.0,200.5,200.5,200.5,200.5
750.0,200.5,200.5,200.5,200.5
900.0,200.5,200.5,200.5,200.5
1050.0,200.5,200.5,200.5,200.5
1200.0,200.5,200.5,200.5,200.5
1350.0,200.5,200.5,200.5,200.5
1500.0,200.5,200.58,200.51,200.58333333333331
1650.0,200.5,200.66,200.52,200.66666666666666
1800.0,200.5,200.75,200.53,200.75
1950.0,200.5,200.83,200.55,200.83333333333334
2100.0,200.5,200.92,200.57,200.925
2250.0,200.5,201.04,200.59,201.05
2400.0,200.5,201.17,200.62,201.17499999999998
2550.0,200.51,201.32,200.65,201.33333333333331
2700.0,200.51,201.49,200.69,201.5
2850.0,200.51,201.68,200.73,201.7
3000.0,200.52,201.93,200.79,201.95
3150.0,200.53,202.18,200.84,202.2
3300.0,200.54,202.51,200.92,202.53333333333333
3450.0,200.55,202.84,201.0,202.86666666666667
3600.0,200.56,203.22,201.09,203.25
3750.0,200.58,203.63,201.19,203.66666666666666
3900.0,200.6,204.07,201.3,204.10833333333335
4050.0,200.62,204.6,201.44,204.65
4200.0,200.65,205.14,201.58,205.19166666666666
4350.0,200.68,205.84,201.75,205.9
4500.0,200.72,206.58,201.93,206.65
4650.0,200.77,207.42,202.15,207.5
4800.0,200.82,208.41,202.39,208.5
4950.0,200.87,209.4,202.66,209.5
5100.0,200.94,210.68,202.97,210.79166666666666
5250.0,201.01,211.96,203.31,212.08333333333331
5400.0,201.1,213.46,203.7,213.6
5550.0,201.2,215.11,204.13,215.26666666666665
5700.0,201.31,216.86,204.6,217.03333333333333
5850.0,201.43,219.0,205.15,219.2
6000.0,201.57,221.15,205.75,221.36666666666667
6150.0,201.73,223.75,206.42,224.0
6300.0,201.91,226.48,207.16,226.75
6450.0,202.12,229.45,207.98,229.75
6600.0,202.35,232.79,208.89,233.125
6750.0,202.6,236.14,209.87,236.5
6900.0,202.89,240.18,210.97,240.58333333333334
7050.0,203.21,244.23,212.16,244.66666666666669
7200.0,203.57,248.7,213.42,249.175
7350.0,203.96,253.45,214.79,253.96666666666667
7500.0,204.4,258.33,216.26,258.89166666666665
7650.0,204.88,263.75,217.87,264.35
7800.0,205.42,269.17,219.58,269.80833333333334
7950.0,206.01,274.94,221.39,275.6333333333333
8100.0,206.65,280.82,223.32,281.55
8250.0,207.35,286.81,225.34,287.58333333333337
8400.0,208.12,292.99,227.44,293.7916666666667
8550.0,208.95,299.16,229.59,300.0
8700.0,209.85,305.33,231.84,306.2083333333333
8850.0,210.82,311.5,234.16,312.41666666666663
9000.0,211.86,317.5,236.55,318.45
9150.0,212.97,323.39,238.99,324.3666666666667
9300.0,214.16,329.19,241.48,330.19166666666666
9450.0,215.42,334.63,243.98,335.65000000000003
9600.0,216.75,340.09,246.44,341.10833333333335
9750.0,218.14,345.0,248.91,346.0333333333333
9900.0,219.61,349.78,251.39,350.825
10050.0,221.14,354.28,253.88,355.3333333333333
10200.0,222.73,358.36,256.34,359.4166666666667
10350.0,224.39,362.43,258.81,363.5
10500.0,226.1,365.81,261.23,366.875
10650.0,227.87,369.18,263.64,370.25
10800.0,229.69,372.19,266.01,373.25
10950.0,231.56,374.94,268.34,376.0
11100.0,233.47,377.58,270.65,378.6333333333333
11250.0,235.42,379.76,272.9,380.79999999999995
11400.0,237.37,381.96,275.04,382.96666666666664
11550.0,239.33,383.74,277.12,384.7333333333333
11700.0,241.3,385.42,279.17,386.4
11850.0,243.3,386.95,281.18,387.91666666666663
12000.0,245.31,388.25,283.15,389.2083333333333
12150.0,247.32,389.55,285.09,390.5
12300.0,249.35,390.56,286.99,391.5
12450.0,251.37,391.57,288.86,392.5
12600.0,253.4,392.44,290.69,393.34999999999997
12750.0,255.42,393.2,292.48,394.09999999999997
12900.0,257.44,393.92,294.25,394.80833333333334
13050.0,259.46,394.47,295.97,395.35
13200.0,261.47,395.03,297.66,395.89166666666665
13350.0,263.46,395.48,299.32,396.3333333333333
13500.0,265.44,395.91,300.95,396.75
13650.0,267.41,396.31,302.55,397.1333333333333
13800.0,269.37,396.65,304.12,397.4666666666667
13950.0,271.3,397.0,305.67,397.8
14100.0,273.22,397.26,307.18,398.05
14250.0,275.12,397.52,308.67,398.29999999999995
14400.0,277.0,397.73,310.14,398.5
14550.0,278.86,397.91,311.57,398.6666666666667
14700.0,280.7,398.08,312.99,398.825
14850.0,282.43,398.23,314.34,398.95000000000005
15000.0,284.13,398.37,315.66,399.07500000000005
15150.0,285.81,398.47,316.95,399.1666666666667
15300.0,287.48,398.57,318.22,399.25
15450.0,289.12,398.66,319.46,399.33333333333337
15600.0,290.74,398.75,320.69,399.4166666666667
15750.0,292.35,398.85,321.89,399.5
