Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,207.0777525,207.0777525,207.0777525,207.0777525
150.0,207.0777525,207.0777525,207.0777525,207.0777525
300.0,207.0777525,207.0777525,207.0777525,207.0777525
450.0,207.0777525,207.0777525,207.0777525,207.0777525
600.0,207.0777525,207.0777525,207.0777525,207.0777525
750.0,207.0777525,207.0777525,207.0777525,207.0777525
900.0,207.0777525,207.0777525,207.0777525,207.0777525
1050.0,207.0777525,207.0777525,207.0777525,207.0777525
1200.0,207.0777525,207.0777525,207.0777525,207.0777525
1350.0,207.0777525,207.0777525,207.0777525,207.0777525
1500.0,207.08,206.48,206.98,206.48061365
1650.0,207.08,206.97,207.02,206.97129224166667
1800.0,207.08,209.29,207.42,209.29177896250002
1950.0,207.08,210.02,207.68,210.02090108333334
2100.0,207.08,209.18,207.6,209.18234979166667
2250.0,207.08,213.11,208.3,213.1127271
2400.0,207.09,216.52,209.16,216.52205026666667
2550.0,207.1,216.83,209.48,216.83016993333334
2700.0,207.13,218.16,210.01,218.16065408749998
2850.0,207.17,218.75,210.31,218.7545139
3000.0,207.23,222.18,211.16,222.1826607666667
3150.0,207.32,222.49,211.64,222.488777
3300.0,207.42,224.06,212.11,224.06600333333333
3450.0,207.55,226.7,212.96,226.70251014166666
3600.0,207.71,227.0,213.42,227.00169916250002
3750.0,207.88,229.32,214.13,229.32359923333334
3900.0,208.08,228.97,214.55,228.97917425833333
4050.0,208.3,229.23,214.89,229.234882625
4200.0,208.55,232.3,215.71,232.31238105
4350.0,208.81,234.7,216.58,234.70680521666668
4500.0,209.1,236.13,217.31,236.13706033749997
4650.0,209.4,236.76,217.9,236.76621030833334
4800.0,209.72,242.21,219.24,242.22115154166667
4950.0,210.06,240.3,219.62,240.3116326
5100.0,210.42,245.45,220.92,245.4643416875
5250.0,210.81,248.31,222.08,248.31758448333335
5400.0,211.21,248.57,222.82,248.5818802875
5550.0,211.65,250.27,223.72,250.2791289
5700.0,212.11,250.71,224.43,250.72096962916666
5850.0,212.6,251.37,225.07,251.37907654999998
6000.0,213.12,255.8,226.38,255.81090501666665
6150.0,213.65,259.43,227.71,259.4399302333333
6300.0,214.21,260.53,228.74,260.5376515
6450.0,214.78,258.51,229.09,258.51699041666666
6600.0,215.37,260.44,229.91,260.45205222916667
6750.0,215.99,264.28,231.24,264.2926134
6900.0,216.62,265.52,232.23,265.5365474208333
7050.0,217.28,265.58,232.97,265.5954769416667
7200.0,217.94,270.46,234.36,270.481231525
7350.0,218.63,268.7,235.1,268.7035237333333
7500.0,219.33,270.07,235.83,270.08865088749997
7650.0,220.05,271.62,236.86,271.637575575
7800.0,220.78,273.99,237.95,274.0046196041667
7950.0,221.53,277.55,239.32,277.56770958333334
8100.0,222.29,279.24,240.49,279.25854676250003
8250.0,223.06,279.33,241.36,279.34499373333335
8400.0,223.85,283.72,242.84,283.7425288833333
8550.0,224.65,285.23,244.05,285.2447878
8700.0,225.47,286.88,245.22,286.89284408333333
8850.0,226.31,286.75,246.07,286.769438675
9000.0,227.16,291.05,247.62,291.0626930875
9150.0,228.04,292.67,248.83,292.68743598333333
9300.0,228.93,296.84,250.52,296.85283123333335
9450.0,229.84,296.28,251.44,296.2986503
9600.0,230.76,297.47,252.56,297.48237666666665
9750.0,231.69,296.7,253.31,296.71171446666665
9900.0,232.63,297.28,254.13,297.2986015625
10050.0,233.59,299.79,255.37,299.8104152916667
10200.0,234.56,301.21,256.46,301.22458728333334
10350.0,235.53,304.14,257.8,304.24116965
10500.0,236.51,305.75,259.06,305.8432007833334
10650.0,237.49,306.1,260.03,306.11671961666667
10800.0,238.47,308.11,261.23,308.1295055125
10950.0,239.47,310.49,262.56,310.5125992
11100.0,240.47,313.15,263.96,313.17353986666666
11250.0,241.48,313.13,265.0,313.150713225
11400.0,242.5,316.15,266.37,316.1679876291667
11550.0,243.53,317.97,267.71,317.9858059833333
11700.0,244.57,321.75,269.32,321.77467956249995
11850.0,245.62,320.94,270.33,320.954918325
12000.0,246.68,322.52,271.53,322.5369850458333
12150.0,247.76,322.14,272.46,322.1572884
12300.0,248.85,323.54,273.59,323.55828885
12450.0,249.95,328.38,275.34,328.40268370833337
12600.0,251.06,329.23,276.58,329.251830175
12750.0,252.17,331.77,278.06,331.79201961666666
12900.0,253.29,332.3,279.16,332.31933292916665
13050.0,254.42,337.53,281.14,337.548883875
13200.0,255.56,337.08,282.2,337.09642955416666
13350.0,256.71,339.23,283.66,339.24476419999996
13500.0,257.88,339.26,284.73,339.28197328749997
13650.0,259.05,341.74,286.15,341.7604576416667
13800.0,260.21,344.3,287.64,344.3194999125
13950.0,261.37,344.17,288.73,344.18550174999996
14100.0,262.53,343.73,289.61,343.75018216666666
14250.0,263.7,345.55,290.82,345.566910125
14400.0,264.88,347.2,292.09,347.2193825625
14550.0,266.05,350.61,293.61,350.63557860000003
14700.0,267.23,352.62,295.09,352.63964400416666
14850.0,268.41,354.1,296.41,354.1173584
15000.0,269.6,354.24,297.53,354.2543038666667
15150.0,270.78,359.07,299.29,359.0956247
15300.0,271.98,360.88,300.81,360.9013612875
15450.0,273.18,361.51,302.07,361.5339272666667
15600.0,274.39,365.24,303.76,365.26229331666667
15750.0,275.6,363.23,304.66,363.2520411
