Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,180.0,180.0,180.0,180.0
150.0,179.94,180.0,179.99,180.0
300.0,180.0,183.05,180.25,183.16666666666666
450.0,180.0,188.17,180.85,188.375
600.0,180.0,193.01,181.7,193.16666666666669
750.0,180.01,192.79,182.12,193.04166666666669
900.0,180.03,199.95,183.15,200.25
1050.0,180.07,202.88,184.13,203.125
1200.0,180.15,204.67,184.88,205.0
1350.0,180.27,207.88,185.88,208.125
1500.0,180.44,208.9,186.55,209.25
1650.0,180.65,211.9,187.54,212.16666666666669
1800.0,180.91,212.68,188.24,213.0
1950.0,181.22,218.76,189.33,219.25
2100.0,181.57,221.19,190.59,221.5
2250.0,181.96,222.82,191.46,223.25
2400.0,182.38,228.5,192.74,229.0
2550.0,182.85,231.84,194.06,232.29166666666669
2700.0,183.36,232.35,195.12,232.75
2850.0,183.91,237.6,196.38,238.16666666666666
3000.0,184.5,239.86,197.72,240.33333333333331
3150.0,185.13,242.49,198.96,243.0
3300.0,185.81,248.13,200.47,248.75
3450.0,186.53,245.85,201.57,246.25
3600.0,187.29,253.33,203.08,254.0
3750.0,188.08,255.38,204.56,255.95833333333331
3900.0,188.92,257.28,205.94,257.8333333333333
4050.0,189.8,258.98,207.22,259.625
4200.0,190.71,265.57,209.0,266.16666666666663
4350.0,191.66,264.6,210.27,265.2083333333333
4500.0,192.65,269.06,211.8,269.75
4650.0,193.65,273.23,213.49,273.83333333333337
4800.0,194.68,274.94,214.87,275.6666666666667
4950.0,195.74,280.92,216.75,281.625
5100.0,196.83,283.29,218.41,284.0
5250.0,197.95,285.84,220.07,286.5416666666667
5400.0,199.1,288.76,221.72,289.5
5550.0,200.29,290.7,223.38,291.375
5700.0,201.51,292.85,224.92,293.5833333333333
5850.0,202.76,294.45,226.53,295.125
6000.0,204.04,298.85,228.2,299.66666666666663
6150.0,205.35,300.48,229.95,301.16666666666663
6300.0,206.68,305.87,231.76,306.75
6450.0,208.03,307.12,233.59,307.83333333333337
6600.0,209.41,309.22,235.24,310.0
6750.0,210.82,313.9,237.14,314.75
6900.0,212.21,318.08,239.09,318.9166666666667
7050.0,213.62,319.31,240.85,320.0833333333333
7200.0,215.06,326.06,242.93,327.0
7350.0,216.51,323.27,244.51,324.0
7500.0,217.99,326.41,246.21,327.25
7650.0,219.5,332.23,248.25,333.125
7800.0,221.02,335.51,250.3,336.3333333333333
7950.0,222.57,335.17,251.99,336.0
8100.0,224.14,338.38,253.83,339.25
8250.0,225.72,343.48,255.87,344.45833333333337
8400.0,227.33,350.04,258.27,351.0
8550.0,228.96,350.92,260.36,351.75
8700.0,230.61,350.52,262.04,351.4166666666667
8850.0,232.28,354.53,264.04,355.4583333333333
9000.0,233.98,358.54,266.16,359.5
9150.0,235.67,361.56,268.22,362.4583333333333
9300.0,237.36,364.08,270.18,365.0
9450.0,239.06,365.87,272.12,366.75
9600.0,240.78,371.29,274.22,372.3333333333333
9750.0,242.52,376.01,276.56,377.0
9900.0,244.28,376.12,278.58,377.0
10050.0,246.05,378.82,280.54,379.7916666666667
10200.0,247.83,382.03,282.65,383.0
10350.0,249.64,386.72,284.88,387.75
10500.0,251.47,387.33,286.95,388.25
10650.0,253.32,393.74,289.26,394.8333333333333
10800.0,255.18,396.96,291.6,398.0
10950.0,257.06,400.87,293.95,401.9166666666667
11100.0,258.96,401.98,296.12,403.0
11250.0,260.88,404.52,298.31,405.5
11400.0,262.82,404.02,300.22,405.0
11550.0,264.74,407.79,302.25,408.8333333333333
11700.0,266.65,413.73,304.61,414.75
11850.0,268.57,416.79,306.83,417.875
12000.0,270.5,421.3,309.24,422.33333333333337
12150.0,272.44,421.89,311.37,422.875
12300.0,274.39,422.99,313.36,424.0
12450.0,276.36,426.85,315.54,427.9166666666667
12600.0,278.34,432.37,317.95,433.5
12750.0,280.33,435.34,320.38,436.375
12900.0,282.34,436.93,322.55,438.0
13050.0,284.36,438.12,324.7,439.125
13200.0,286.39,440.6,326.81,441.66666666666663
13350.0,288.44,446.66,329.24,447.8333333333333
13500.0,290.5,448.7,331.64,449.75
13650.0,292.54,452.45,333.96,453.58333333333337
13800.0,294.55,455.09,336.29,456.1666666666667
13950.0,296.58,456.21,338.44,457.25
14100.0,298.61,461.58,340.8,462.75
14250.0,300.65,463.02,343.08,464.0833333333333
14400.0,302.71,466.87,345.4,468.0
