Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,114.7772209,114.7772209,114.7772209,114.7772209
150.0,114.78,123.45,116.26,123.463698025
300.0,114.78,133.15,118.39,133.1662151
450.0,114.79,143.67,121.0,143.68540854999998
600.0,114.82,154.8,124.03,154.8219148
750.0,114.91,168.82,127.79,168.85443625
900.0,115.09,180.28,131.51,180.31081875
1050.0,115.39,190.77,135.19,190.802577175
1200.0,115.84,201.9,139.12,201.9412264
1350.0,116.46,215.49,143.54,215.530938475
1500.0,117.25,226.34,147.84,226.3775612
1650.0,118.23,236.32,152.02,236.36961545
1800.0,119.39,247.35,156.48,247.3956221
1950.0,120.74,249.44,159.6,249.48045417499998
2100.0,122.26,247.75,161.7,247.78323315
2250.0,123.94,246.11,163.33,246.141613275
2400.0,125.77,248.36,165.5,248.3932488
2550.0,127.71,248.57,167.37,248.60094442500002
2700.0,129.72,247.56,168.94,247.591373
2850.0,131.78,246.71,170.37,246.742262325
3000.0,133.86,247.4,172.0,247.4313402
3150.0,135.94,245.33,173.17,245.35906912500002
3300.0,138.02,244.66,174.4,244.68620325
3450.0,140.08,245.3,175.83,245.33050815000001
3600.0,142.11,247.18,177.51,247.2097494
3750.0,144.1,248.11,179.08,248.135818425
3900.0,146.06,250.28,180.83,250.30774530000002
4050.0,147.99,250.52,182.41,250.54479155
4200.0,149.89,245.65,182.96,245.6662187
4350.0,151.76,246.92,184.25,246.947551175
4500.0,153.61,247.08,185.5,247.10483655000002
4650.0,155.43,245.89,186.5,245.909746875
4800.0,157.22,243.12,187.14,243.1339542
4950.0,158.97,245.35,188.47,245.375039325
5100.0,160.69,244.75,189.52,244.766355
5250.0,162.36,244.71,190.49,244.7281695
5400.0,163.99,248.66,192.2,248.6807511
5550.0,165.58,246.07,193.01,246.088139625
5700.0,167.08,246.19,193.98,246.21206075
5850.0,168.49,246.86,195.1,246.8778748
6000.0,169.88,245.89,195.91,245.9109421
6150.0,171.25,247.16,197.01,247.183016725
6300.0,172.6,246.69,197.91,246.70319425
6450.0,173.93,246.33,198.71,246.34449282499997
6600.0,175.24,247.96,199.85,247.9799306
6750.0,176.53,248.34,200.84,248.3540273
6900.0,177.8,249.43,201.92,249.4512509
7050.0,179.04,249.46,202.9,249.470769925
7200.0,180.28,246.6,203.29,246.6117529
7350.0,181.49,232.53,201.68,232.528738675
7500.0,182.7,221.69,199.88,221.68872265
7650.0,183.87,212.92,198.19,212.917914025
7800.0,185.01,205.05,196.51,205.042522
7950.0,186.04,190.25,193.56,190.23573092499998
8100.0,186.98,179.9,190.81,179.8887986
8250.0,187.8,170.36,188.2,170.33678905
8400.0,188.48,157.94,184.94,157.9147663
8550.0,189.02,148.74,181.9,148.717069825
8700.0,189.39,134.84,178.09,134.80912995
8850.0,189.59,121.16,173.84,121.12646755
9000.0,189.62,112.64,170.35,112.6046035
9150.0,189.46,111.12,168.07,111.089382625
9300.0,189.11,114.72,166.86,114.70016255
9450.0,188.57,117.8,166.2,117.774621525
9600.0,187.85,114.67,164.57,114.6504378
9750.0,186.98,115.5,163.51,115.48106745
9900.0,186.0,113.34,162.15,113.32079175
10050.0,184.96,111.2,160.63,111.178421825
10200.0,183.86,112.08,159.67,112.0627688
10350.0,182.73,112.37,158.75,112.3569881
10500.0,181.57,113.84,158.07,113.82595520000001
10650.0,180.39,114.53,157.41,114.508700925
10800.0,179.21,112.46,156.26,112.4442561
10950.0,178.02,113.93,155.62,113.9133762
11100.0,176.85,111.67,154.52,111.64972515
11250.0,175.69,109.76,153.23,109.74535055
11400.0,174.55,112.31,152.76,112.2923
11550.0,173.42,111.6,151.93,111.587695175
11700.0,172.3,110.62,150.99,110.59935644999999
11850.0,171.19,110.9,150.2,110.88840182499999
12000.0,170.09,114.03,150.0,114.0159493
12150.0,169.01,113.69,149.38,113.6769634
12300.0,167.95,113.33,148.69,113.31546395000001
12450.0,166.9,112.4,147.9,112.383380875
12600.0,165.88,110.35,146.85,110.3326441
12750.0,164.88,114.03,146.71,114.024399475
12900.0,163.9,114.49,146.31,114.4776717
13050.0,162.94,113.39,145.57,113.375736075
13200.0,162.0,112.41,144.78,112.4018679
13350.0,161.08,112.9,144.22,112.884801675
13500.0,160.18,112.77,143.63,112.76089435
13650.0,159.3,111.74,142.88,111.73190065
13800.0,158.43,109.51,141.87,109.4995753
13950.0,157.58,111.71,141.53,111.6964174
14100.0,156.75,111.89,141.06,111.88298255000001
14250.0,155.92,111.27,140.4,111.2633471
14400.0,155.11,111.05,139.8,111.0415874
