Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,316.0777525,316.0777525,316.0777525,316.0777525
150.0,316.08,315.41,315.97,315.4076969833333
300.0,316.08,315.82,316.0,315.82545890833336
450.0,316.08,318.07,316.37,318.07302896249996
600.0,316.08,318.73,316.6,318.72923441666666
750.0,316.08,317.82,316.5,317.8177664583333
900.0,316.08,321.67,317.15,321.67522710000003
1050.0,316.08,325.01,317.96,325.0116336
1200.0,316.09,325.24,318.25,325.2468366
1350.0,316.1,326.5,318.73,326.5044040875
1500.0,316.13,327.02,318.98,327.0253472333333
1650.0,316.17,330.37,319.78,330.3805774333333
1800.0,316.22,330.61,320.21,330.613777
1950.0,316.29,332.11,320.63,332.11808666666667
2100.0,316.38,334.68,321.42,334.68167680833335
2250.0,316.49,334.9,321.83,334.9079491625
2400.0,316.62,337.15,322.47,337.1569325666667
2550.0,316.77,336.74,322.84,336.739590925
2700.0,316.94,336.92,323.12,336.922382625
2850.0,317.12,339.92,323.88,339.9269643833333
3000.0,317.33,342.24,324.67,342.2484718833333
3150.0,317.55,343.6,325.34,343.60581033750003
3300.0,317.78,344.16,325.86,344.1620436416667
3450.0,318.04,349.53,327.11,349.54406820833333
3600.0,318.31,347.56,327.42,347.5616326
3750.0,318.59,352.63,328.63,352.6414250208333
3900.0,318.9,355.41,329.71,355.42175115000003
4050.0,319.22,355.6,330.36,355.6131302875
4200.0,319.57,357.23,331.17,357.2374622333333
4350.0,319.94,357.6,331.81,357.6063862958333
4500.0,320.34,358.18,332.37,358.19157655000004
4650.0,320.75,362.54,333.59,362.55048835
4800.0,321.19,366.09,334.82,366.1065969
4950.0,321.64,367.12,335.75,367.1314015
5100.0,322.11,365.03,336.03,365.03782375
5250.0,322.6,366.89,336.76,366.89996889583335
5400.0,323.11,370.65,337.99,370.66761340000005
5550.0,323.64,371.83,338.88,371.8386307541667
5700.0,324.18,371.81,339.53,371.8246436083333
5850.0,324.74,376.62,340.82,376.637481525
6000.0,325.31,374.78,341.46,374.78685706666664
6150.0,325.9,376.09,342.1,376.09906755416665
6300.0,326.5,377.56,343.03,377.57507557499997
6450.0,327.12,379.86,344.02,379.86920293749995
6600.0,327.75,383.34,345.28,383.35937624999997
6750.0,328.39,384.96,346.34,384.9772967625
6900.0,329.05,384.98,347.11,384.99082706666667
7050.0,329.72,389.3,348.48,389.31544555000005
7200.0,330.4,390.73,349.57,390.7447878
7350.0,331.09,392.31,350.64,392.3199274166667
7500.0,331.8,392.11,351.39,392.12360534166663
7650.0,332.53,396.33,352.82,396.3439430875
7800.0,333.28,397.88,353.91,397.89576931666664
7950.0,334.04,401.97,355.48,401.98824790000003
8100.0,334.82,401.35,356.3,401.3611503
8250.0,335.61,402.46,357.32,402.47196
8400.0,336.42,401.61,358.0,401.62838113333333
8550.0,337.25,402.13,358.76,402.1423515625
8700.0,338.09,404.57,359.92,404.581248625
8850.0,338.95,405.91,360.93,405.92250395
9000.0,339.8,408.97,362.18,408.86616964999996
9150.0,340.65,410.49,363.33,410.3952841166667
9300.0,341.51,410.58,364.16,410.59588628333336
9450.0,342.37,412.52,365.23,412.53575551250003
9600.0,343.23,414.83,366.44,414.8459325333333
9750.0,344.11,417.42,367.71,417.43395653333334
9900.0,344.99,417.32,368.64,417.338213225
10050.0,345.88,420.26,369.89,420.2825709625
10200.0,346.77,422.01,371.11,422.02747265
10350.0,347.68,425.72,372.6,425.7434295625
10500.0,348.59,424.84,373.49,424.8507516583333
10650.0,349.52,426.34,374.58,426.3599017125
10800.0,350.46,425.89,375.4,425.9072884
10950.0,351.4,427.22,376.42,427.23537218333337
11100.0,352.36,431.99,378.03,432.006850375
11250.0,353.33,432.76,379.16,432.783080175
11400.0,354.31,435.23,380.52,435.25035295
11550.0,355.29,435.68,381.51,435.70474959583333
11700.0,356.28,440.84,383.34,440.861383875
11850.0,357.28,440.32,384.3,440.3360128875
12000.0,358.29,442.39,385.63,442.41143086666665
12150.0,359.31,442.36,386.59,442.3757232875
12300.0,360.34,444.76,387.89,444.781290975
12450.0,361.38,447.25,389.3,447.26741657916665
12600.0,362.43,447.04,390.32,447.06050175
12750.0,363.49,446.53,391.14,446.5522655
12900.0,364.56,448.28,392.28,448.2960767916667
13050.0,365.64,449.86,393.47,449.87563256249996
13200.0,366.72,453.2,394.92,453.21891193333335
13350.0,367.77,455.13,396.3,455.15006067083334
13500.0,368.82,456.54,397.53,456.5548584
13650.0,369.88,456.6,398.55,456.6188872
13800.0,370.94,461.36,400.2,461.38729136666666
13950.0,372.01,463.1,401.62,463.12011128750004
14100.0,373.08,463.66,402.78,463.6797606
14250.0,374.16,467.31,404.36,467.33520998333336
14400.0,375.25,465.23,405.16,465.2520411
