Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
150.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
300.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
450.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
600.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
750.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
900.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
1050.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
1200.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
1350.0,118.405630735919,118.405630735919,118.405630735919,118.405630735919
1500.0,118.41,118.94,118.46,118.96567004010126
1650.0,118.41,123.76,118.88,124.0049774295955
1800.0,118.41,129.71,119.82,129.98503401212375
1950.0,118.41,133.07,120.67,133.367320895408
2100.0,118.43,150.06,122.83,150.9356977883975
2250.0,118.48,159.88,125.29,160.642647092833
2400.0,118.59,166.43,127.35,167.25505306604526
2550.0,118.79,174.63,129.6,175.539799965365
2700.0,119.1,179.53,131.71,180.39047468889575
2850.0,119.55,192.76,134.41,194.06718755685802
3000.0,120.12,206.24,137.94,207.47416895942075
3150.0,120.83,210.38,140.62,211.515649286753
3300.0,121.68,217.75,143.37,219.008583812588
3450.0,122.67,222.62,146.05,223.81177314067702
3600.0,123.82,227.68,148.59,228.974870083893
3750.0,125.1,236.15,151.52,237.547527455109
3900.0,126.5,245.17,154.71,246.67677015910274
4050.0,128.02,259.19,158.39,260.9944261909395
4200.0,129.62,269.55,162.4,271.07931186619226
4350.0,131.33,266.21,165.01,267.510243500434
4500.0,133.15,276.01,168.21,277.70595199484427
4650.0,135.09,289.54,172.1,291.5173435962255
4800.0,137.13,300.44,176.3,302.217134246716
4950.0,139.24,301.43,179.53,303.078039888454
5100.0,141.46,321.63,184.08,323.9705940584005
5250.0,143.77,331.69,188.79,333.7730516897595
5400.0,146.19,334.28,192.68,336.16439478961126
5550.0,148.73,333.08,195.87,334.823605365036
5700.0,151.35,348.19,200.02,350.44274874071476
5850.0,154.05,357.2,204.33,359.3279159352365
6000.0,156.83,365.64,208.45,367.97814350138196
6150.0,159.69,380.36,213.34,382.892467991932
6300.0,162.63,381.5,217.46,383.63468640703525
6450.0,165.62,393.63,221.81,396.1793538240815
6600.0,168.65,407.27,226.92,409.71607410529873
6750.0,171.77,411.09,231.29,413.434451112915
6900.0,174.97,422.56,236.06,425.17495705127925
7050.0,178.25,426.97,240.62,429.32307632751304
7200.0,181.62,428.57,244.59,430.904272534546
7350.0,185.02,432.67,248.52,434.944009265308
7500.0,188.45,449.77,253.41,452.5589281938243
7650.0,191.94,457.07,258.3,459.5635295133635
7800.0,195.48,463.28,262.7,466.0124761422883
7950.0,199.04,479.03,268.05,481.960430998961
8100.0,202.6,487.56,273.18,490.3534086177373
8250.0,206.22,489.39,277.76,491.8841483964025
8400.0,209.9,494.64,282.0,497.5264684250445
8550.0,213.65,515.03,287.78,518.254186793751
8700.0,217.48,500.58,291.45,502.67780905455896
8850.0,221.37,489.55,294.0,491.5049774295955
9000.0,225.32,479.54,296.18,481.235034012124
9150.0,229.33,466.9,297.69,468.367320895408
9300.0,233.36,467.88,299.84,469.68569778839725
9450.0,237.37,461.67,301.84,463.142647092833
9600.0,241.33,452.16,303.15,453.5050530660455
9750.0,245.01,444.32,304.32,445.539799965365
9900.0,248.59,433.16,305.0,434.1404746888955
10050.0,252.06,430.33,305.9,431.567187556858
10200.0,255.42,427.74,307.23,428.724168959421
10350.0,258.66,415.76,307.62,416.515649286753
10500.0,261.77,407.05,307.84,407.75858381258774
10650.0,264.69,395.82,307.74,396.311773140677
10800.0,267.48,384.78,307.28,385.2248700838933
10950.0,270.14,377.15,306.94,377.547527455109
11100.0,272.68,370.08,306.61,370.4267701591032
11250.0,275.07,367.97,306.56,368.49442619093946
11400.0,277.31,362.21,306.65,362.32931186619174
11550.0,279.36,342.76,305.22,342.510243500434
11700.0,281.27,336.46,304.14,336.455951994844
11850.0,283.05,333.88,303.51,334.0173435962255
12000.0,284.69,328.62,303.03,328.4671342467162
12150.0,286.19,313.5,301.46,313.078039888454
12300.0,287.54,317.58,300.97,317.720594058401
12450.0,288.75,311.52,300.42,311.2730516897595
12600.0,289.83,297.98,298.88,297.41439478961075
12750.0,290.78,280.65,296.48,279.823605365036
12900.0,291.61,279.59,294.94,279.1927487407145
13050.0,292.33,272.48,293.44,271.8279159352365
13200.0,292.91,264.79,291.53,264.22814350138225
13350.0,293.37,263.38,290.22,262.892467991932
13500.0,293.7,248.38,287.95,247.384686407035
13650.0,293.89,244.32,285.86,243.679353824081
13800.0,293.97,241.82,284.46,240.96607410529828
13950.0,293.92,229.52,282.09,228.434451112915
14100.0,293.75,224.85,279.92,223.924957051279
14250.0,293.46,213.12,277.37,211.8230763275125
14400.0,293.07,198.57,274.06,197.1542725345455
14550.0,292.56,186.47,270.66,184.944009265308
14700.0,291.94,187.41,268.22,186.30892819382476
14850.0,291.2,178.6,265.56,177.0635295133635
15000.0,290.33,168.65,262.18,167.26247614228774
15150.0,289.33,168.22,259.7,166.960430998961
15300.0,288.19,160.58,256.93,159.103408617737
15450.0,286.93,146.27,253.43,144.3841483964025
15600.0,285.55,135.39,249.31,133.77646842504475
15750.0,284.06,139.6,246.8,138.254186793751
