Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,193.7772209,193.7772209,193.7772209,193.7772209
150.0,193.7772209,193.7772209,193.7772209,193.7772209
300.0,193.7772209,193.7772209,193.7772209,193.7772209
450.0,193.7772209,193.7772209,193.7772209,193.7772209
600.0,193.7772209,193.7772209,193.7772209,193.7772209
750.0,193.7772209,193.7772209,193.7772209,193.7772209
900.0,193.7772209,193.7772209,193.7772209,193.7772209
1050.0,193.7772209,193.7772209,193.7772209,193.7772209
1200.0,193.7772209,193.7772209,193.7772209,193.7772209
1350.0,193.7772209,193.7772209,193.7772209,193.7772209
1500.0,193.78,209.61,196.41,209.630364725
1650.0,193.78,226.47,200.03,226.4995485
1800.0,193.79,244.15,204.31,244.185408625
1950.0,193.82,262.45,209.13,262.4885815
2100.0,193.91,283.64,214.84,283.687769575
2250.0,194.11,302.26,220.55,302.31081875
2400.0,194.45,319.91,226.34,319.96924385
2550.0,194.98,338.21,232.4,338.2745597
2700.0,195.71,358.96,239.09,359.030938475
2850.0,196.68,376.98,245.69,377.04422784999997
3000.0,197.87,394.13,252.17,394.20294875
3150.0,199.31,412.32,259.03,412.3956221
3300.0,201.0,414.42,263.53,414.48045417500003
3450.0,202.93,412.73,266.89,412.78323315
3600.0,205.12,411.09,269.67,411.141613275
3750.0,207.51,413.34,272.79,413.3932488
3900.0,210.06,413.55,275.47,413.60094442499997
4050.0,212.75,412.55,277.84,412.591373
4200.0,215.54,411.7,280.03,411.74226232499996
4350.0,218.39,412.39,282.39,412.4313402
4500.0,221.27,410.32,284.29,410.359069125
4650.0,224.18,409.64,286.22,409.68620324999995
4800.0,227.08,410.29,288.33,410.33050815
4950.0,229.97,412.17,290.65,412.2097494
5100.0,232.84,413.09,292.87,413.135818425
5250.0,235.68,415.26,295.24,415.30774529999997
5400.0,238.49,415.51,297.42,415.54479155
5550.0,241.26,410.63,298.61,410.6662187
5700.0,244.0,411.91,300.52,411.947551175
5850.0,246.71,412.07,302.36,412.10483654999996
6000.0,249.39,410.88,303.97,410.909746875
6150.0,251.98,408.1,305.22,408.1339542
6300.0,254.44,410.34,307.1,410.375039325
6450.0,256.87,409.73,308.69,409.766355
6600.0,259.26,409.69,310.19,409.72816950000004
6750.0,261.61,413.64,312.39,413.6807511
6900.0,263.93,411.06,313.69,411.088139625
7050.0,266.21,411.18,315.18,411.21206075000003
7200.0,268.45,411.85,316.82,411.87787480000003
7350.0,270.66,410.88,318.17,410.9109421
7500.0,272.84,412.15,319.81,412.183016725
7650.0,275.0,411.67,321.23,411.70319425
7800.0,277.12,411.31,322.55,411.344492825
7950.0,279.21,412.95,324.2,412.9799306
8100.0,281.26,413.32,325.7,413.3540273
8250.0,283.29,414.42,327.27,414.4512509
8400.0,285.29,414.44,328.74,414.470769925
8550.0,287.26,411.59,329.64,411.6117529
8700.0,289.21,390.36,327.47,390.362071975
8850.0,291.13,372.36,324.8,372.35538929999996
9000.0,292.97,356.42,322.04,356.41791402499996
9150.0,294.73,341.39,319.1,341.3758553
9300.0,296.43,319.43,314.8,319.40239752499997
9450.0,298.02,301.91,310.54,301.88879855
9600.0,299.49,285.2,306.31,285.17012235
9750.0,300.81,265.62,301.3,265.5814329
9900.0,301.93,249.26,296.45,249.2170698
10050.0,302.86,228.19,290.75,228.14246325
10200.0,303.57,207.34,284.45,207.29313417499998
10350.0,304.04,191.66,278.83,191.6046035
10500.0,304.26,190.13,275.5,190.08938262499998
10650.0,304.22,193.73,273.55,193.70016255000002
10800.0,303.91,196.8,272.23,196.77462152500001
10950.0,303.35,193.68,270.07,193.6504378
11100.0,302.55,194.51,268.51,194.48106745
11250.0,301.57,192.35,266.65,192.32079175
11400.0,300.43,190.21,264.69,190.178421825
11550.0,299.17,191.09,263.31,191.0627688
11700.0,297.82,191.38,262.0,191.3569881
11850.0,296.4,192.85,260.94,192.8259552
12000.0,294.94,193.53,259.93,193.508700925
12150.0,293.43,191.47,258.45,191.4442561
12300.0,291.91,192.94,257.49,192.9133762
12450.0,290.38,190.68,256.08,190.64972515
12600.0,288.85,188.77,254.51,188.74535055
12750.0,287.32,191.31,253.75,191.2923
12900.0,285.81,190.61,252.63,190.587695175
13050.0,284.3,189.62,251.42,189.59935645000002
13200.0,282.81,189.91,250.35,189.88840182500002
13350.0,281.33,193.03,249.88,193.0159493
13500.0,279.86,192.7,248.99,192.6769634
13650.0,278.42,192.34,248.03,192.31546395
13800.0,276.99,191.4,246.99,191.383380875
13950.0,275.58,189.35,245.7,189.3326441
14100.0,274.2,193.04,245.29,193.024399475
14250.0,272.84,193.5,244.64,193.4776717
14400.0,271.5,192.39,243.65,192.37573607500002
14550.0,270.19,191.42,242.63,191.4018679
14700.0,268.9,191.9,241.83,191.884801675
14850.0,267.63,191.78,241.0,191.76089435
15000.0,266.39,190.75,240.02,190.73190065
15150.0,265.16,188.52,238.79,188.4995753
15300.0,263.96,190.71,238.22,190.6964174
15450.0,262.77,190.9,237.52,190.88298255
15600.0,261.6,190.28,236.65,190.2633471
15750.0,260.45,190.06,235.83,190.0415874
