Time (s),T_outer (C),T_inner (C),T_avg (C),Input Temperature (C)
0.0,179.1430471,179.1430471,179.1430471,179.1430471
150.0,179.1430471,179.1430471,179.1430471,179.1430471
300.0,179.1430471,179.1430471,179.1430471,179.1430471
450.0,179.1430471,179.1430471,179.1430471,179.1430471
600.0,179.1430471,179.1430471,179.1430471,179.1430471
750.0,179.1430471,179.1430471,179.1430471,179.1430471
900.0,179.1430471,179.1430471,179.1430471,179.1430471
1050.0,179.1430471,179.1430471,179.1430471,179.1430471
1200.0,179.1430471,179.1430471,179.1430471,179.1430471
1350.0,179.1430471,179.1430471,179.1430471,179.1430471
1500.0,179.14,184.37,179.61,184.581853825
1650.0,179.14,190.29,180.44,190.61747415000002
1800.0,179.15,196.52,181.53,196.9294846
1950.0,179.16,202.71,182.79,203.1974617
2100.0,179.19,210.64,184.36,211.26552857500002
2250.0,179.27,215.63,185.92,216.1957107
2400.0,179.4,222.07,187.47,222.8839083
2550.0,179.6,235.2,189.85,236.2260216
2700.0,179.88,241.0,192.05,241.89330727499998
2850.0,180.24,246.5,194.13,247.41671505
3000.0,180.7,252.29,196.23,253.26219237499998
3150.0,181.27,258.86,198.46,259.8956867
3300.0,181.94,263.82,200.64,264.84472025
3450.0,182.72,272.45,203.05,273.66411585
3600.0,183.6,281.01,205.77,282.19212875
3750.0,184.57,285.11,208.17,286.2670142
3900.0,185.64,290.41,210.58,291.625727375
4050.0,186.8,299.52,213.32,300.9552834
4200.0,188.06,308.16,216.41,309.538706325
4350.0,189.4,311.34,219.04,312.6590202
4500.0,190.82,317.12,221.66,318.506106375
4650.0,192.32,323.87,224.43,325.3424927
4800.0,193.91,330.55,227.34,332.03644305
4950.0,195.58,335.95,230.2,337.4562213
5100.0,197.32,335.54,232.58,336.84376665
5250.0,199.13,340.6,235.06,342.10880710000004
5400.0,201.02,345.55,237.87,346.925122525
5550.0,202.97,343.72,240.0,344.9664928
5700.0,204.98,340.81,241.75,341.933577325
5850.0,207.04,337.54,243.23,338.5756252
6000.0,209.13,335.46,244.58,336.52238265
6150.0,211.24,336.32,246.16,337.4035959
6300.0,213.36,337.85,247.85,338.95369725
6450.0,215.46,339.79,249.62,340.92232294999997
6600.0,217.54,339.8,251.35,340.781682825
6750.0,219.59,335.15,252.51,336.0039867
6900.0,221.61,332.9,253.59,333.75879555
7050.0,223.61,333.38,254.82,334.3315533
7200.0,225.57,335.96,256.33,336.9896642
7350.0,227.5,339.91,258.12,341.0005325
7500.0,229.38,340.15,259.73,341.130678725
7650.0,231.23,340.31,261.22,341.26454954999997
7800.0,232.99,340.04,262.61,340.918565225
7950.0,234.68,338.78,263.8,339.609146
8100.0,236.35,339.44,265.07,340.315586975
8250.0,238.0,338.76,266.27,339.56130415
8400.0,239.64,338.71,267.39,339.57517195
8550.0,241.25,341.67,268.82,342.5860648
8700.0,242.84,330.52,269.2,330.916036975
8850.0,244.41,324.82,269.28,325.30666929999995
9000.0,245.95,320.08,269.49,320.387284475
9150.0,247.47,310.65,269.11,310.7872052
9300.0,248.94,305.11,268.73,305.276639
9450.0,250.35,300.19,268.37,300.32684459999996
9600.0,251.69,295.28,267.97,295.35641384999997
9750.0,252.92,289.77,267.45,289.7839386
9900.0,254.06,278.54,266.35,278.264630925
10050.0,255.12,273.65,265.29,273.54786335
10200.0,256.08,270.21,264.61,269.9982561
10350.0,256.95,262.31,263.49,261.9804294
10500.0,257.71,254.11,262.13,253.675743225
10650.0,258.36,246.76,260.63,246.27203655
10800.0,258.91,239.94,259.09,239.397547525
10950.0,259.35,233.28,257.49,232.6805143
11100.0,259.69,226.48,255.8,225.821469775
11250.0,259.91,220.27,254.07,219.579907
11400.0,260.02,214.17,252.31,213.42365372499998
11550.0,260.02,207.63,250.45,206.8205377
11700.0,259.91,202.71,248.59,201.897109
11850.0,259.69,197.7,246.75,196.8628925
12000.0,259.37,191.42,244.8,190.45255
12150.0,258.94,182.48,242.47,181.4007433
12300.0,258.4,180.76,240.55,179.87833082499998
12450.0,257.77,181.36,239.06,180.62321555
12600.0,257.05,182.27,237.89,181.544098775
12750.0,256.24,181.28,236.65,180.5496818
12900.0,255.34,178.61,235.29,177.8204435
13050.0,254.38,180.46,234.19,179.87918145
13200.0,253.38,182.98,233.51,182.36604557500002
13350.0,252.33,181.57,232.54,180.9211858
13500.0,251.26,181.16,231.57,180.53444005
13650.0,250.18,181.55,230.69,180.9756319
13800.0,249.09,181.94,229.89,181.355359
13950.0,248.0,181.37,229.02,180.784219
14100.0,246.92,178.75,227.95,178.077711775
14250.0,245.85,178.9,226.98,178.34426485
14400.0,244.78,180.07,226.24,179.525199275
14550.0,243.73,180.1,225.47,179.5618361
14700.0,242.69,179.26,224.63,178.69343345
14850.0,241.65,182.11,224.03,181.72513834999998
15000.0,240.63,183.67,223.67,183.1279361
15150.0,239.62,178.05,222.56,177.372812
15300.0,238.62,178.77,221.69,178.2546191
15450.0,237.64,178.73,220.93,178.20627059999998
15600.0,236.68,178.05,220.12,177.51733055
15750.0,235.74,177.02,219.27,176.477363
